ID,ImageID,OTUID,Assemblage,CSize,B1a_raw,B2a_raw,B3a_raw,L1a_raw,L2a_raw,L3a_raw,L4a_raw,Pp_raw,B2p_raw,B3p_raw,L2p_raw,L3p_raw,L4p_raw,B1a_cor,B2a_cor,B3a_cor,L1a_cor,L2a_cor,L3a_cor,L4a_cor,Pp_cor,B2p_cor,B3p_cor,L2p_cor,L3p_cor,L4p_cor
1226,4759,51,West Runton Freshwater Bed,1766,54,62,57,64,69,73,75,80,77,67,70,81,74,73.3,80.17,69.55,80.37,84.21,87.12,87.58,98.0,107.09,92.8,96.79,103.62,96.37
1225,4772,51,West Runton Freshwater Bed,1837,53,62,50,59,61,51,62,64,72,53,63,57,63,66.99,75.17,59.09,70.87,72.02,61.24,71.12,77.05,93.81,71.7,82.42,73.39,79.21
1224,4782,51,West Runton Freshwater Bed,2024,76,83,71,70,73,73,71,93,93,94,97,83,86,76.0,83.0,71.0,70.0,73.0,73.0,71.0,93.0,93.0,94.0,97.0,83.0,86.0
1223,4738,51,West Runton Freshwater Bed,1768,62,56,57,67,62,64,63,73,86,77,78,79,76,81.15,74.03,69.45,83.24,77.09,78.01,75.49,90.87,115.86,102.6,104.59,101.44,98.2
1222,4807,10028,Welsh Borders,2030,75,75,81,73,84,84,68,73,53,54,54,57,54,87.12,86.04,87.66,82.61,85.77,89.66,83.14,74.52,65.43,64.5,62.55,61.26,65.6
1221,2089,10028,Welsh Borders,2120,68,71,64,71,84,84,63,67,56,52,52,50,62,76.37,78.63,68.6,77.64,85.22,87.91,73.46,68.05,64.59,59.25,57.91,52.94,70.01
1220,4803,10028,Welsh Borders,2265,81,82,89,81,78,86,87,87,64,59,61,63,74,83.33,84.13,90.28,82.85,78.34,87.09,89.91,87.29,66.39,61.02,62.65,63.82,76.23
1219,2070,10028,Welsh Borders,2095,49,61,67,57,66,65,60,71,47,47,66,67,40,58.41,69.58,72.18,64.46,67.37,69.39,71.76,72.18,56.65,55.15,72.64,70.31,49.01
1218,2095,10028,Welsh Borders,2222,65,61,67,60,72,78,87,76,45,48,63,55,66,69.12,64.76,69.27,63.27,72.6,79.92,92.15,76.52,49.23,51.57,65.91,56.45,69.95
1217,4805,10028,Welsh Borders,2287,93,77,96,101,100,88,79,75,64,55,70,70,66,94.42,78.29,96.78,102.12,100.21,88.66,80.77,75.18,65.45,56.23,71.0,70.5,67.36
1216,2087,10028,Welsh Borders,2175,66,69,90,58,80,76,78,74,67,62,50,48,64,72.08,74.54,93.34,62.82,80.89,78.84,85.6,74.76,73.24,67.27,54.29,50.14,69.82
1215,4801,10028,Welsh Borders,2054,68,82,81,95,105,83,74,81,57,58,54,65,59,79.12,92.13,87.11,103.82,106.62,88.19,87.89,82.39,68.4,67.63,61.85,68.91,69.64
1214,2128,10028,Welsh Borders,2279,69,74,62,73,77,76,90,77,54,54,55,57,59,70.75,75.59,62.96,74.39,77.26,76.82,92.19,77.22,55.79,55.52,56.23,57.61,60.67
1213,2066,10028,Welsh Borders,2158,60,63,60,69,61,76,72,64,59,54,55,59,56,66.79,69.19,63.73,74.38,61.99,79.17,80.48,64.85,65.96,59.88,59.79,61.39,62.5
1212,2093,10028,Welsh Borders,2138,60,61,68,64,58,69,88,73,50,48,63,50,60,67.62,67.95,72.19,70.04,59.11,72.56,97.52,73.96,57.82,54.6,68.38,52.68,67.3
1210,2079,10028,Welsh Borders,2258,68,68,73,79,79,72,79,62,56,56,60,61,61,70.62,70.39,74.44,81.08,79.38,73.22,82.28,62.33,58.69,58.27,61.85,61.92,63.51
1208,2099,10028,Welsh Borders,2014,75,50,79,71,72,70,56,61,44,44,56,49,42,87.78,61.65,86.03,81.14,73.86,75.97,71.97,62.6,57.11,55.08,65.02,53.49,54.24
1206,2064,10028,Welsh Borders,2034,50,61,67,66,64,65,59,81,53,53,64,61,57,61.95,71.89,73.57,75.48,65.74,70.58,73.93,82.5,65.26,63.35,72.43,65.2,68.44
1205,2091,10028,Welsh Borders,2232,61,64,66,65,76,77,92,76,52,55,55,47,47,64.71,67.38,68.04,67.94,76.54,78.73,96.63,76.46,55.8,58.21,57.62,48.3,50.55
1203,717,10028,Welsh Borders,2321,77,91,73,82,70,77,51,63,78,76,69,63,65,77.0,91.0,73.0,82.0,70.0,77.0,51.0,63.0,78.0,76.0,69.0,63.0,65.0
1202,2072,10028,Welsh Borders,2283,60,66,80,76,71,78,82,65,67,65,60,62,57,61.58,67.44,80.87,77.25,71.23,78.74,83.98,65.2,68.62,66.37,61.12,62.56,58.51
1201,2097,10028,Welsh Borders,2009,63,56,67,66,63,73,73,65,57,44,52,60,63,75.99,67.84,74.14,76.3,64.9,79.06,89.23,66.63,70.33,55.26,61.17,64.57,75.44
1200,3282,977,Vladimirovka 2,1822,66,58,63,60,64,65,60,63,72,65,63,65,55,67.25,59.67,65.22,60.83,66.07,66.18,61.4,65.46,74.33,67.43,64.62,66.05,56.74
1199,3295,977,Vladimirovka 2,1682,64,56,49,58,60,65,55,46,54,57,50,55,52,73.19,68.29,65.33,64.08,75.25,73.69,65.3,64.09,71.19,74.92,61.94,62.7,64.8
1198,3272,977,Vladimirovka 2,1796,59,65,58,53,60,65,59,64,56,67,60,66,64,61.72,68.64,62.84,54.8,64.52,67.58,62.05,69.36,61.09,72.31,63.54,68.28,67.79
1197,3286,977,Vladimirovka 2,1709,52,47,45,62,38,54,52,56,54,49,64,52,52,59.66,57.24,58.61,67.07,50.71,61.24,60.59,71.08,68.32,63.93,73.95,58.41,62.66
1196,3302,977,Vladimirovka 2,1744,53,53,49,62,59,54,60,72,61,58,66,70,67,58.67,60.58,59.08,65.75,68.42,59.37,66.36,83.17,71.61,69.06,73.37,74.75,74.9
